Transport_mode,Port_cargo_throughput_2014,Port_cargo_throughput_percentage_distribution_2014,Port_cargo_throughput_2019,Port_cargo_throughput_percentage_distribution_2019,Port_cargo_throughput_2020,Port_cargo_throughput_percentage_distribution_2020,Port_cargo_throughput_2021,Port_cargo_throughput_percentage_distribution_2021,Port_cargo_throughput_2022,Port_cargo_throughput_percentage_distribution_2022,Port_cargo_throughput_2023,Port_cargo_throughput_percentage_distribution_2023,Port_cargo_throughput_average_annual_rate_of_change_2014_2023
Waterborne,297737,100,263315,100,249286,100,213731,100,192104,100,174866,100,-5.7
Seaborne,197321,66.3,161324,61.3,149174,59.8,149256,69.8,129989,67.7,115139,65.8,-5.8
River,100416,33.7,101992,38.7,100111,40.2,64475,30.2,62115,32.3,59727,34.2,-5.6
