Shipment_type,Port_cargo_throughput_2014,Port_cargo_throughput_percentage_distribution_2014,Port_cargo_throughput_2015,Port_cargo_throughput_percentage_distribution_2015,Port_cargo_throughput_2016,Port_cargo_throughput_percentage_distribution_2016,Port_cargo_throughput_2017,Port_cargo_throughput_percentage_distribution_2017,Port_cargo_throughput_2018,Port_cargo_throughput_percentage_distribution_2018,Port_cargo_throughput_2019,Port_cargo_throughput_percentage_distribution_2019,Port_cargo_throughput_2020,Port_cargo_throughput_percentage_distribution_2020,Port_cargo_throughput_2021,Port_cargo_throughput_percentage_distribution_2021,Port_cargo_throughput_2022,Port_cargo_throughput_percentage_distribution_2022,Port_cargo_throughput_2023,Port_cargo_throughput_percentage_distribution_2023,Port_cargo_throughput_average_annual_rate_of_change_2014_2023
Direct shipment cargo,144791,48.6,123587,48.2,125262,48.8,138359,49.1,125150,48.4,137012,52,124189,49.8,90117,42.2,77775,40.5,74624,42.7,-7.1
Transhipment cargo,152946,51.4,132972,51.8,131469,51.2,143187,50.9,133391,51.6,126303,48,125097,50.2,123614,57.8,114329,59.5,100242,57.3,-4.6
Overall,297737,100,256559,100,256730,100,281545,100,258541,100,263315,100,249286,100,213731,100,192104,100,174866,100,-5.7
